VS2,VSe2,VTe2,MoS2,MoSe2,MoTe2,TiS2,TiSe2,TiTe2,WS2,WSe2,WTe2,ScS2,ScSe2,ScTe2,NiS2,NiSe2,NiTe2,V,Mo,Ti,W,Sc,Ni,S2,Se2,Te2,AvgFormE,AvgMass,AvgRadius,AvgElecNeg,WeightDif,Formation E
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,8,0,20,0,-0.4172,71.48993334,122.0002,2.3114,440.4873334,-0.04094117
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,7,0,20,0,-0.5048,71.12906667,122.1668,2.2991,299.6726667,-0.19105181
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,6,0,20,0,-0.5924,70.7682,122.3334,2.2868,158.858,-0.30075398
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,20,0,-0.68,70.40733334,122.5,2.2745,18.04333335,-0.39792677
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,4,0,20,0,-0.7676,70.04646667,122.6666,2.2622,122.7713333,-0.50836146
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,3,0,20,0,-0.8552,69.6856,122.8332,2.2499,263.586,-0.6293723
0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,2,0,20,0,-0.9428,69.32473333,122.9998,2.2376,404.4006667,-0.75163425
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,20,0,-1.0304,68.96386667,123.1664,2.2253,545.2153333,-0.45253352
0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,20,0,0,-1.3604,37.68986667,113.1664,2.2453,295.0233333,-0.01374494
0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,2,20,0,0,-1.2578,38.05073333,112.9998,2.2576,216.7566667,-0.50627146
0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,3,20,0,0,-1.1552,38.4116,112.8332,2.2699,138.49,-0.41123822
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,4,20,0,0,-1.0526,38.77246667,112.6666,2.2822,60.22333332,-0.29565745
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,20,0,0,-0.95,39.13333334,112.5,2.2945,18.04333335,-0.17918543
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,6,20,0,0,-0.8474,39.4942,112.3334,2.3068,96.31000002,-0.06430237
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,7,20,0,0,-0.7448,39.85506667,112.1668,2.3191,174.5766667,0.04913574
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,8,20,0,0,-0.6422,40.21593334,112.0002,2.3314,252.8433334,0.16731337
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,9,20,0,0,-0.5396,40.5768,111.8336,2.3437,331.11,0.34800653
0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,9,0,0,0,2,18,-0.2027,138.5723,136.833,2.18933,1248.517,0.004622
0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,2,8,0,0,0,4,16,-0.3044,130.7979334,135.333,2.19196,1033.567334,-0.02814896
0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,7,0,0,0,6,14,-0.4061,123.0235667,133.833,2.19459,818.6176669,-0.05597988
0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,4,6,0,0,0,8,12,-0.5078,115.2492,132.333,2.19722,603.6680002,-0.08950868
0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,10,10,-0.6095,107.4748334,130.833,2.19985,388.7183335,-0.11944722
0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,6,4,0,0,0,12,8,-0.7112,99.70046668,129.333,2.20248,173.7686668,-0.15406611
0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,0,0,14,6,-0.8129,91.92610001,127.833,2.20511,41.1809999,-0.17561466
0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,8,2,0,0,0,16,4,-0.9146,84.15173334,126.333,2.20774,256.1306666,-0.30040997
0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,18,2,-1.0163,76.37736667,124.833,2.21037,471.0803333,-0.11874866
0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,9,0,0,20,0,-1.012,72.26213333,129.1667,2.18637,494.7666667,-1.65202636
0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,8,0,0,20,0,-0.961,76.8916,128.3334,2.21974,313.2066668,-1.3784487
0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,3,7,0,0,20,0,-0.91,81.52106666,127.5001,2.25311,131.6466668,-1.11940488
0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,4,6,0,0,20,0,-0.859,86.15053332,126.6668,2.28648,49.91333318,-0.92239461
0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,5,0,0,20,0,-0.808,90.77999999,125.8335,2.31985,231.4733332,-0.76346514
0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,6,4,0,0,20,0,-0.757,95.40946665,125.0002,2.35322,413.0333331,-0.61580131
0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,7,3,0,0,20,0,-0.706,100.0389333,124.1669,2.38659,594.5933331,-0.47123816
0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,8,2,0,0,20,0,-0.655,104.6684,123.3336,2.41996,776.1533331,-0.29067169
0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,9,1,0,0,20,0,-0.604,109.2978666,122.5003,2.45333,957.713333,-0.00359804
0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,0,2,18,-0.3502,112.1082667,140.5003,2.1233,985.8173333,-0.03343894
0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,2,0,0,4,16,-0.4294,107.1665333,139.3336,2.1266,801.1346667,-0.24907504
0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,3,0,0,6,14,-0.5086,102.2248,138.1669,2.1299,616.452,-0.36796139
0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,4,0,0,8,12,-0.5878,97.28306667,137.0002,2.1332,431.7693333,-0.43594878
0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,10,10,-0.667,92.34133333,135.8335,2.1365,247.0866666,-0.46977666
0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,6,0,0,12,8,-0.7462,87.3996,134.6668,2.1398,62.40399998,-0.51953907
0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,7,0,0,14,6,-0.8254,82.45786667,133.5001,2.1431,122.2786667,-0.81056686
0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,8,0,0,16,4,-0.9046,77.51613334,132.3334,2.1464,306.9613334,-1.16848017
0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,9,0,0,18,2,-0.9838,72.5744,131.1667,2.1497,491.644,-1.62799943
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,2,0,18,-0.2876,109.4387667,138.667,2.1436,1012.512333,-0.06195565
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,2,4,0,16,-0.3042,101.8275333,135.667,2.1672,854.5246667,0.04972866
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,3,6,0,14,-0.3208,94.2163,132.667,2.1908,696.537,0.18261435
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,4,8,0,12,-0.3374,86.60506667,129.667,2.2144,538.5493333,0.3009708
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,10,0,10,-0.354,78.99383333,126.667,2.238,380.5616667,0.41086881
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,6,12,0,8,-0.3706,71.3826,123.667,2.2616,222.574,0.50992891
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,7,14,0,6,-0.3872,63.77136667,120.667,2.2852,64.58633331,0.61215471
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,8,16,0,4,-0.4038,56.16013334,117.667,2.3088,93.40133336,0.66397326
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,9,18,0,2,-0.4204,48.5489,114.667,2.3324,251.389,0.99107057
0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,20,0,0,-1.4219,38.93176667,113.4997,2.2537,282.6043333,0.48245496
0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,20,0,0,-1.3808,40.53453333,113.6664,2.2744,191.9186667,0.44625745
0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,20,0,0,-1.3397,42.1373,113.8331,2.2951,101.233,0.51504286
0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,20,0,0,-1.2986,43.74006667,113.9998,2.3158,10.54733332,0.53561702
0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,20,0,0,-1.2575,45.34283334,114.1665,2.3365,80.13833335,0.54106452
0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,20,0,0,-1.2164,46.9456,114.3332,2.3572,170.824,0.53469053
0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,20,0,0,-1.1753,48.54836667,114.4999,2.3779,261.5096667,0.51203711
0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,20,0,0,-1.1342,50.15113334,114.6666,2.3986,352.1953334,0.4738719
0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,20,0,0,-1.0931,51.7539,114.8333,2.4193,442.881,0.40834772
0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,20,0,-0.679,71.12826667,122.0003,2.2607,542.0213333,-0.57950671
0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,20,0,-0.678,72.62853333,122.3336,2.2784,387.7626667,-1.08090643
0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,20,0,-0.677,74.1288,122.6669,2.2961,233.504,-1.53464511
0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,20,0,-0.676,75.62906667,123.0002,2.3138,79.24533332,-2.00137335
0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,20,0,-0.675,77.12933334,123.3335,2.3315,75.01333335,-2.46950215
0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,20,0,-0.674,78.6296,123.6668,2.3492,229.272,-2.93832887
0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,20,0,-0.673,80.12986667,124.0001,2.3669,383.5306667,-3.40231935
0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,20,0,-0.672,81.63013334,124.3334,2.3846,537.7893334,-3.85650998
0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,20,0,-0.671,83.1304,124.6667,2.4023,692.048,-4.34660698
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,9,0,2,18,-0.3143,101.0282,136.833,2.0537,873.076,0.83994936
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,8,0,4,16,-0.4036,97.4254,135.333,2.0714,699.842,0.73100488
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,7,0,6,14,-0.4929,93.8226,133.833,2.0891,526.608,0.62025429
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,6,0,8,12,-0.5822,90.2198,132.333,2.1068,353.374,0.45187091
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,10,10,-0.6715,86.617,130.833,2.1245,180.14,0.31914947
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,4,0,12,8,-0.7608,83.0142,129.333,2.1422,6.906,0.19776358
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,3,0,14,6,-0.8501,79.4114,127.833,2.1599,166.328,0.01008202
0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,2,0,16,4,-0.9394,75.8086,126.333,2.1776,339.562,-0.1251465
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,18,2,-1.0287,72.2058,124.833,2.1953,512.796,-0.04139973
0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,9,1,0,0,2,18,-0.1972,138.4752667,137.4997,2.18333,1249.487334,-0.23987739
0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,8,2,0,0,4,16,-0.2934,130.6038667,136.6664,2.17996,1035.508,-0.49296485
0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,7,3,0,0,6,14,-0.3896,122.7324667,135.8331,2.17659,821.5286669,-0.61040569
0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,6,4,0,0,8,12,-0.4858,114.8610667,134.9998,2.17322,607.5493335,-0.66789964
0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,5,0,0,10,10,-0.582,106.9896667,134.1665,2.16985,393.5700001,-0.69247877
0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,4,6,0,0,12,8,-0.6782,99.11826668,133.3332,2.16648,179.5906668,-0.72943809
0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,7,0,0,14,6,-0.7744,91.24686668,132.4999,2.16311,34.38866659,-0.94513485
0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,2,8,0,0,16,4,-0.8706,83.37546668,131.6666,2.15974,248.368,-1.31870269
0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,9,0,0,18,2,-0.9668,75.50406667,130.8333,2.15637,462.3473333,-1.70959707
0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,20,0,0,-1.0473,56.28633334,114.6667,2.4466,397.5566667,-0.01647743
0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,0,0,20,0,0,-1.0379,62.14566667,114.0001,2.4598,125.5366667,-0.014434
0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,4,0,0,20,0,0,-1.0332,65.07533333,113.6668,2.4664,10.4733333,-0.0145457
0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,20,0,0,-1.0285,68.005,113.3335,2.473,146.4833333,-0.01460255
0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,0,0,20,0,0,-1.0238,70.93466667,113.0002,2.4796,282.4933333,-0.01466163
0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,7,0,0,20,0,0,-1.0191,73.86433333,112.6669,2.4862,418.5033333,-0.01467386
0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,8,0,0,20,0,0,-1.0144,76.794,112.3336,2.4928,554.5133333,-0.01479048
0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,9,0,0,20,0,0,-1.0097,79.72366666,112.0003,2.4994,690.5233333,-0.01665918
1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,9,0,0,20,0,0,-1.0064,78.2234,111.667,2.4814,705.526,0.1132849
2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,8,0,0,20,0,0,-1.0078,73.79346666,111.667,2.4568,584.5186666,0.09924631
3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,7,0,0,20,0,0,-1.0092,69.36353333,111.667,2.4322,463.5113333,0.09926492
4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,6,0,0,20,0,0,-1.0106,64.9336,111.667,2.4076,342.504,0.09778939
5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,20,0,0,-1.012,60.50366667,111.667,2.383,221.4966667,0.09748482
6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,4,0,0,20,0,0,-1.0134,56.07373333,111.667,2.3584,100.4893333,0.0981707
7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,3,0,0,20,0,0,-1.0148,51.6438,111.667,2.3338,20.51800001,0.10177026
8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,2,0,0,20,0,0,-1.0162,47.21386667,111.667,2.3092,141.5253333,0.09824135
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,0,20,0,0,-1.0176,42.78393333,111.667,2.2846,262.5326667,0.10616369
0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,18,0,-0.7172,68.00086667,121.0003,2.2627,573.2953333,0.00318146
0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,4,16,0,-0.7544,66.37373333,120.3336,2.2824,450.3106667,0.05050231
0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,6,14,0,-0.7916,64.7466,119.6669,2.3021,327.326,0.11899949
0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,8,12,0,-0.8288,63.11946667,119.0002,2.3218,204.3413333,0.1638632
0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,10,10,0,-0.866,61.49233334,118.3335,2.3415,81.35666665,0.19589983
0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,12,8,0,-0.9032,59.8652,117.6668,2.3612,41.62800002,0.21535833
0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,14,6,0,-0.9404,58.23806667,117.0001,2.3809,164.6126667,0.22758537
0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,16,4,0,-0.9776,56.61093334,116.3334,2.4006,287.5973334,0.20762915
0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,18,2,0,-1.0148,54.9838,115.6667,2.4203,410.582,0.22761312
0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,2,18,-0.3119,112.3078,139.667,2.1323,983.822,0.17222709
0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,4,16,-0.3528,107.5656,137.667,2.1446,797.144,0.14403194
0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,6,14,-0.3937,102.8234,135.667,2.1569,610.466,0.15717857
0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,8,12,-0.4346,98.0812,133.667,2.1692,423.788,0.16143893
0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,10,10,-0.4755,93.339,131.667,2.1815,237.11,0.1474256
0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,12,8,-0.5164,88.5968,129.667,2.1938,50.432,0.11494171
0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,14,6,-0.5573,83.8546,127.667,2.2061,136.246,0.05701539
0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,16,4,-0.5982,79.1124,125.667,2.2184,322.924,-0.04278005
0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,18,2,-0.6391,74.3702,123.667,2.2307,509.602,-0.08335321
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,2,18,0,-1.0499,65.83646667,122.1664,2.2273,576.4893333,-0.49441241
0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,2,4,16,0,-0.9818,63.06993333,120.9998,2.2416,466.9486667,-0.83814953
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,3,6,14,0,-0.9137,60.3034,119.8332,2.2559,357.408,-0.73223785
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,4,8,12,0,-0.8456,57.53686667,118.6666,2.2702,247.8673333,-0.60614208
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,10,10,0,-0.7775,54.77033334,117.5,2.2845,138.3266667,-0.47496685
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,6,12,8,0,-0.7094,52.0038,116.3334,2.2988,28.78599998,-0.33957956
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,7,14,6,0,-0.6413,49.23726667,115.1668,2.3131,80.75466669,-0.19742235
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,8,16,4,0,-0.5732,46.47073334,114.0002,2.3274,190.2953334,-0.04098123
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,9,18,2,0,-0.5051,43.7042,112.8336,2.3417,299.836,0.18395415
0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,20,0,-1.0615,73.13543333,123.1664,2.24037,503.4996667,0.12896121
0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,8,2,0,0,0,20,0,-1.005,77.66786666,122.9998,2.26774,320.9693334,0.02634984
0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,7,3,0,0,0,20,0,-0.9485,82.20029999,122.8332,2.29511,138.4390001,0.14283897
0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,20,0,-0.892,86.73273332,122.6666,2.32248,44.0913332,0.15877578
0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,20,0,-0.8355,91.26516665,122.5,2.34985,226.6216665,0.1632295
0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,4,6,0,0,0,20,0,-0.779,95.79759998,122.3334,2.37722,409.1519998,0.1521532
0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,7,0,0,0,20,0,-0.7225,100.3300333,122.1668,2.40459,591.6823331,0.13434587
0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,2,8,0,0,0,20,0,-0.666,104.8624666,122.0002,2.43196,774.2126664,0.10106591
0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,9,0,0,0,20,0,-0.6095,109.3949,121.8336,2.45933,956.7429997,0.03207657
0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,18,2,0,-1.3837,42.05916667,114.4997,2.2517,251.3303333,-0.23377636
0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,16,4,0,-1.3044,46.78933333,115.6664,2.2704,129.3706667,-0.83623648
0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,14,6,0,-1.2251,51.5195,116.8331,2.2891,7.41099999,-1.29055545
0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,12,8,0,-1.1458,56.24966667,117.9998,2.3078,114.5486667,-1.78827231
0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,10,10,0,-1.0665,60.97983333,119.1665,2.3265,236.5083333,-2.28570498
0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,8,12,0,-0.9872,65.71,120.3332,2.3452,358.468,-2.78050726
0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,6,14,0,-0.9079,70.44016667,121.4999,2.3639,480.4276667,-3.27804142
0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,4,16,0,-0.8286,75.17033334,122.6666,2.3826,602.3873334,-3.77688658
0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,2,18,0,-0.7493,79.9005,123.8333,2.4013,724.347,-4.29557825
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,9,0,1,2,0,18,-0.1346,135.8057667,135.6664,2.20363,1276.182334,-0.205596
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,8,0,2,4,0,16,-0.1682,125.2648667,132.9998,2.22056,1088.898,-0.16597273
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,7,0,3,6,0,14,-0.2018,114.7239667,130.3332,2.23749,901.6136669,-0.02794739
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,4,8,0,12,-0.2354,104.1830667,127.6666,2.25442,714.3293335,0.09831402
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,5,10,0,10,-0.269,93.64216669,125,2.27135,527.0450002,0.21739591
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,4,0,6,12,0,8,-0.3026,83.10126668,122.3334,2.28828,339.7606668,0.31391111
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,7,14,0,6,-0.3362,72.56036668,119.6668,2.30521,152.4763334,0.42229229
