VS2,VSe2,VTe2,MoS2,MoSe2,MoTe2,TiS2,TiSe2,TiTe2,WS2,WSe2,WTe2,ScS2,ScSe2,ScTe2,NiS2,NiSe2,NiTe2,V,Mo,Ti,W,Sc,Ni,S2,Se2,Te2,AvgFormE,AvgMass,AvgRadius,AvgElecNeg,WeightDif,Formation E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10,8,12,0,-0.32,59.70206667,117.667,2.344,269.5193333,0.92786931
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,8,2,4,16,0,-0.9378,62.29366667,126.3334,2.1936,459.186,-2.09597714
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,7,3,6,14,0,-0.8752,59.62416667,124.5001,2.2139,350.6156667,-1.66044271
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,6,4,8,12,0,-0.8126,56.95466667,122.6668,2.2342,242.0453333,-1.27173836
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,5,10,10,0,-0.75,54.28516667,120.8335,2.2545,133.475,-0.94473867
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,6,12,8,0,-0.6874,51.61566667,119.0002,2.2748,24.90466666,-1.76386225
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,7,14,6,0,-0.6248,48.94616667,117.1669,2.2951,83.66566668,-0.58765207
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,2,8,16,4,0,-0.5622,46.27666667,115.3336,2.3154,192.236,-0.41328384
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,9,18,2,0,-0.4996,43.60716667,113.5003,2.3357,300.8063334,-0.04507781
1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,9,0,0,2,18,0,-0.5996,106.37,120.667,2.46403,986.9919997,-0.29062272
2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,8,0,0,4,16,0,-0.6462,98.81266664,119.667,2.44136,834.7106664,-0.23913608
3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,7,0,0,6,14,0,-0.6928,91.25533331,118.667,2.41869,682.4293331,-0.189294
4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,6,0,0,8,12,0,-0.7394,83.69799998,117.667,2.39602,530.1479998,-0.14508121
5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,10,10,0,-0.786,76.14066665,116.667,2.37335,377.8666665,-0.10496152
6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,4,0,0,12,8,0,-0.8326,68.58333332,115.667,2.35068,225.5853332,-0.07294029
7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,14,6,0,-0.8792,61.02599999,114.667,2.32801,73.3039999,-0.04927226
8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,2,0,0,16,4,0,-0.9258,53.46866666,113.667,2.30534,78.9773334,-0.0438382
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1,0,0,18,2,0,-0.9724,45.91133333,112.667,2.28267,231.2586667,-0.03381149
0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,9,0,0,20,0,-1.0237,69.33246667,129.5,2.1797,524.0633334,-2.13847593
0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,8,0,0,20,0,-0.9844,71.03226667,129,2.2064,371.8,-2.27236945
0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,7,0,0,20,0,-0.9451,72.73206667,128.5,2.2331,219.5366667,-2.48860364
0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,6,0,0,20,0,-0.9058,74.43186667,128,2.2598,67.27333334,-2.72975389
0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,4,0,0,20,0,-0.8272,77.83146667,127,2.3132,237.2533333,-3.29933126
0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,0,20,0,-0.7093,82.93086667,125.5,2.3933,694.0433334,-4.13574089
0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,20,0,-1.0742,68.7055,123.1664,2.216,547.799,-0.11726981
0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,20,0,-1.0304,68.808,122.9998,2.219,409.568,-0.11364919
0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,20,0,-0.9866,68.9105,122.8332,2.222,271.337,-0.08424951
0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,20,0,-0.9428,69.013,122.6666,2.225,133.106,-0.0698132
0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,20,0,-0.899,69.1155,122.5,2.228,5.125,-0.06532318
0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,20,0,-0.8552,69.218,122.3334,2.231,143.356,-0.06848714
